no,movie,content,rate
14335142,곤지암,유치했던 기억이 있네요,2
14335141,수어사이드 스쿼드,노잼 노잼 노잼 노잼 노잼!!! 각본 개허술일본 애니메이션보다 유치하다.,1
14335140,아수라,ㅋㅋㅋㅋ 목숨걸고 만드셨네 엔딩크래딧이 제일소름,10
14335139,속닥속닥,알바를 얼마나 쳐 썼으면 페북에서도 그렇게 재미없다고 하는데 아직도 평점이 9.65? 돈 아까워서 차마 보지는 못하겠지만 알바들이 괘씸해서라도 1점 남긴다,1
14335138,인크레더블 2,여름방학때 아이들과 보기 좋은 영화이네요~,10
14335137,마녀,또 보고싶은 영화...,10
14335136,남한산성,이건 뭐가 다르다  내가 알고 있는 사극영화랑 다르다,8
14335135,탐정: 리턴즈,1234512345,5
14335134,아수라,명작이다 리얼 다큐입니다,10
14335132,인크레더블 2,너무 재미있게 봤어요. 애들도 모두 즐거워 했어요^^ 기대 이상이었네요.,10
14335131,펠리니를 찾아서,영화에 나오는 이탈리아는 매우 매력적...영상미가 너무 예뻐서 다시 보고 싶다,10
14335130,유실물,진짜 해도해도 너무하네 장난 아니고 레알로 개그물인 줄 알았다,1
14335129,아수라,다큐였다 몰라봤다 성남 현실영화,10
14335128,할렐루야,가격 신경쓰지마시고 오늘 드시고 싶은거 마음껏 시키시지요. 난 짜장면~,10
14335126,유전,상영관 하는데도 없고 다운로드도 안되고 어케봄,2
14335125,인크레더블 2,너무 재밌었어요 ㅎㅎ 시간가는줄 모르고 봤네요,10
14335124,앤트맨과 와스프,역시 믿고보는 마블 최고!!,10
14335123,인크레더블 2,최고. 항상 속편은 망한다고 생각했는데 인크레더블은 전혀 아니었다.,10
14335121,신은 죽지 않았다 3: 어둠 속의 빛,신자다운 것이 무엇인지 생각하게하는 영화,10
14335120,인크레더블 2,완전 오랜만에 보니까 재밋네요,10
14335119,아수라,"와따리 ,, 이 영화가 실화랑깨 !",10
14335118,곤지암,볼만한데 무섭는 않네 빨래하러 가야지,8
14335117,아수라,"다시보니, 대작이였다...",10
14335116,인크레더블 2,3도 15년지나서 내는거 아니겠지,10
14335114,인크레더블 2,역시 인크레더블2 재밌었습니다.,10
14335113,아수라,뭔가 이상하다는 싶었지만 사실을 정확히 아니 소름돋는다.,10
